pose_id,feature_id,number_of_measurements,x,y,z,x_global,y_global,z_global
1,2,2,0.3281,-1.5358,1.0942,1.6899,-0.1108,1.0942
1,12,2,1.2623,-2.8933,2.1313,2.9247,-1.2020,2.1313
1,27,2,5.9852,-1.1658,2.8721,7.0894,1.6167,2.8721
1,32,2,4.9557,-2.2684,2.0249,6.3572,0.2979,2.0249
1,36,2,-2.3465,-1.6982,-0.0942,-0.8660,-0.9154,-0.0942
1,37,2,0.8765,0.8627,0.4138,1.6417,2.3491,0.4138
1,41,2,2.5492,1.2681,0.7538,3.1667,3.1472,0.7538
1,42,2,0.6562,-0.7217,2.0814,1.8113,0.7585,2.0814
1,47,2,2.7144,2.2198,2.0438,3.0968,4.1106,2.0438
1,51,2,1.8883,2.1905,1.0864,2.3023,3.8823,1.0864
1,52,2,5.9000,-0.9409,0.1690,6.9524,1.8144,0.1690
1,56,2,-2.3975,1.5686,2.8452,-1.7057,2.2420,2.8452
1,57,2,5.3566,0.8510,-0.8585,5.9916,3.4217,-0.8585
1,61,2,-2.2642,1.0300,-0.3572,-1.4461,1.7517,-0.3572
1,66,2,-0.4982,2.5140,2.6661,-0.0915,3.6188,2.6661
1,77,2,5.9152,-0.4156,1.7474,6.8401,2.3277,1.7474
1,81,2,-2.0569,1.8772,-0.4469,-1.4499,2.6238,-0.4469
1,82,2,1.2697,1.0554,1.1108,1.9767,2.6312,1.1108
1,91,2,-0.8229,-2.7845,1.8213,0.8752,-1.6008,1.8213
1,101,2,0.5554,-2.3775,2.6710,2.1141,-0.8726,2.6710
1,107,2,4.7999,1.5273,2.7469,5.2879,3.9431,2.7469
1,117,2,5.5767,-0.0386,1.8553,6.4204,2.6117,1.8553
1,121,2,-1.7427,-2.1005,-1.0574,-0.1828,-1.1597,-1.0574
1,126,2,0.7286,-2.6224,0.6920,2.3414,-1.0682,0.6920
1,136,2,0.8737,2.6153,2.8634,1.2151,4.0490,2.8634
1,147,2,0.9362,-2.2001,-0.9204,2.4407,-0.6082,-0.9204
1,161,2,2.4242,0.7604,2.7436,3.1683,2.6243,2.7436
1,166,2,2.7743,-0.7475,1.0886,3.8728,1.2459,1.0886
1,171,2,-2.4322,0.8807,-0.6343,-1.5730,1.5661,-0.6343
1,172,2,3.9349,-3.1135,2.6767,5.5713,-0.7690,2.6767
1,177,2,3.6496,-3.3534,2.7368,5.3525,-1.0709,2.7368
1,186,2,1.7371,2.3192,1.0046,2.1244,3.9706,1.0046
1,187,2,5.7600,-1.8136,2.2264,7.0277,0.9337,2.2264
1,192,2,0.4921,-1.6524,0.8510,1.8772,-0.1842,0.8510
1,196,2,2.8641,0.1902,2.8927,3.7330,2.1774,2.8927
1,202,2,5.1007,0.8524,-0.0390,5.7430,3.3611,-0.0390
1,211,2,-2.4422,-1.3918,2.8801,-1.0330,-0.6413,2.8801
1,212,2,1.5769,-3.1789,1.0289,3.2991,-1.4030,1.0289
1,221,2,-0.6103,2.3669,2.1518,-0.1648,3.4490,2.1518
1,226,2,0.5364,2.8029,2.9161,0.8424,4.1494,2.9161
1,227,2,0.7525,-1.3716,0.6555,2.0620,0.1512,0.6555
1,231,2,2.6593,-1.0265,1.5513,3.8286,0.9473,1.5513
1,237,2,0.6549,-0.6118,-1.4148,1.7835,0.8648,-1.4148
1,242,2,4.2603,1.7982,-1.2258,4.6987,4.0754,-1.2258
1,251,2,0.7432,2.4757,1.7841,1.1221,3.8820,1.7841
1,261,2,2.3465,-0.9202,2.7404,3.4994,0.9748,2.7404
1,276,2,2.5527,0.0162,-0.9168,3.4730,1.9333,-0.9168
1,277,2,0.9348,-2.5353,-0.0410,2.5204,-0.9339,-0.0410
1,281,2,-0.5155,-2.7810,1.5528,1.1726,-1.5231,1.5528
1,282,2,1.6346,1.4098,2.2065,2.2450,3.0633,2.2065
1,286,2,-2.2937,1.1034,-1.3465,-1.4925,1.8158,-1.3465
1,287,2,1.6353,-3.0275,1.7342,3.3191,-1.2419,1.7342
1,291,2,0.2143,-2.7404,0.4075,1.8709,-1.3072,0.4075
1,296,2,0.1171,2.8233,0.2100,0.4305,4.0678,0.2100
1,301,2,-0.1694,2.7295,-0.6419,0.1753,3.9075,-0.6419
1,302,2,0.6879,0.7225,-1.0336,1.4927,2.1674,-1.0336
1,307,2,5.5799,-1.7117,2.4559,6.8283,0.9890,2.4559
1,312,2,3.0398,2.0262,2.6377,3.4593,4.0014,2.6377
1,316,2,-0.4708,2.4058,2.5086,-0.0388,3.5204,2.5086
1,317,2,0.4159,0.1823,-0.3843,1.3594,1.5775,-0.3843
1,326,2,2.5888,-0.3524,-1.1180,3.5972,1.5844,-1.1180
1,327,2,1.1571,1.0654,2.5866,1.8650,2.6137,2.5866
1,331,2,-0.3753,-2.7174,1.9791,1.2933,-1.4275,1.9791
1,337,2,3.1140,2.2443,-0.9866,3.4786,4.2310,-0.9866
1,342,2,6.0038,-1.3016,1.7840,7.1404,1.4896,1.7840
1,346,2,1.0947,-2.7180,-0.0076,2.7197,-1.0724,-0.0076
1,351,2,2.1548,-1.4040,0.8967,3.4305,0.4590,0.8967
1,366,2,2.7686,-0.9746,1.8925,3.9222,1.0242,1.8925
