pose_id,feature_id,x,y,z,sigma_x,sigma_y,sigma_z
1,2,0.3281,-1.5358,1.0942,0.0030,0.0030,0.0030
1,12,1.2623,-2.8933,2.1313,0.0030,0.0030,0.0030
1,27,5.9852,-1.1658,2.8721,0.0030,0.0030,0.0030
1,32,4.9557,-2.2684,2.0249,0.0030,0.0030,0.0030
1,36,-2.3465,-1.6982,-0.0942,0.0030,0.0030,0.0030
1,37,0.8765,0.8627,0.4138,0.0030,0.0030,0.0030
1,41,2.5492,1.2681,0.7538,0.0030,0.0030,0.0030
1,42,0.6562,-0.7217,2.0814,0.0030,0.0030,0.0030
1,47,2.7144,2.2198,2.0438,0.0030,0.0030,0.0030
1,51,1.8883,2.1905,1.0864,0.0030,0.0030,0.0030
1,52,5.9000,-0.9409,0.1690,0.0030,0.0030,0.0030
1,56,-2.3975,1.5686,2.8452,0.0030,0.0030,0.0030
1,57,5.3566,0.8510,-0.8585,0.0030,0.0030,0.0030
1,61,-2.2642,1.0300,-0.3572,0.0030,0.0030,0.0030
1,66,-0.4982,2.5140,2.6661,0.0030,0.0030,0.0030
1,77,5.9152,-0.4156,1.7474,0.0030,0.0030,0.0030
1,81,-2.0569,1.8772,-0.4469,0.0030,0.0030,0.0030
1,82,1.2697,1.0554,1.1108,0.0030,0.0030,0.0030
1,91,-0.8229,-2.7845,1.8213,0.0030,0.0030,0.0030
1,101,0.5554,-2.3775,2.6710,0.0030,0.0030,0.0030
1,107,4.7999,1.5273,2.7469,0.0030,0.0030,0.0030
1,117,5.5767,-0.0386,1.8553,0.0030,0.0030,0.0030
1,121,-1.7427,-2.1005,-1.0574,0.0030,0.0030,0.0030
1,126,0.7286,-2.6224,0.6920,0.0030,0.0030,0.0030
1,136,0.8737,2.6153,2.8634,0.0030,0.0030,0.0030
1,147,0.9362,-2.2001,-0.9204,0.0030,0.0030,0.0030
1,161,2.4242,0.7604,2.7436,0.0030,0.0030,0.0030
1,166,2.7743,-0.7475,1.0886,0.0030,0.0030,0.0030
1,171,-2.4322,0.8807,-0.6343,0.0030,0.0030,0.0030
1,172,3.9349,-3.1135,2.6767,0.0030,0.0030,0.0030
1,177,3.6496,-3.3534,2.7368,0.0030,0.0030,0.0030
1,186,1.7371,2.3192,1.0046,0.0030,0.0030,0.0030
1,187,5.7600,-1.8136,2.2264,0.0030,0.0030,0.0030
1,192,0.4921,-1.6524,0.8510,0.0030,0.0030,0.0030
1,196,2.8641,0.1902,2.8927,0.0030,0.0030,0.0030
1,202,5.1007,0.8524,-0.0390,0.0030,0.0030,0.0030
1,211,-2.4422,-1.3918,2.8801,0.0030,0.0030,0.0030
1,212,1.5769,-3.1789,1.0289,0.0030,0.0030,0.0030
1,221,-0.6103,2.3669,2.1518,0.0030,0.0030,0.0030
1,226,0.5364,2.8029,2.9161,0.0030,0.0030,0.0030
1,227,0.7525,-1.3716,0.6555,0.0030,0.0030,0.0030
1,231,2.6593,-1.0265,1.5513,0.0030,0.0030,0.0030
1,237,0.6549,-0.6118,-1.4148,0.0030,0.0030,0.0030
1,242,4.2603,1.7982,-1.2258,0.0030,0.0030,0.0030
1,251,0.7432,2.4757,1.7841,0.0030,0.0030,0.0030
1,261,2.3465,-0.9202,2.7404,0.0030,0.0030,0.0030
1,276,2.5527,0.0162,-0.9168,0.0030,0.0030,0.0030
1,277,0.9348,-2.5353,-0.0410,0.0030,0.0030,0.0030
1,281,-0.5155,-2.7810,1.5528,0.0030,0.0030,0.0030
1,282,1.6346,1.4098,2.2065,0.0030,0.0030,0.0030
1,286,-2.2937,1.1034,-1.3465,0.0030,0.0030,0.0030
1,287,1.6353,-3.0275,1.7342,0.0030,0.0030,0.0030
1,291,0.2143,-2.7404,0.4075,0.0030,0.0030,0.0030
1,296,0.1171,2.8233,0.2100,0.0030,0.0030,0.0030
1,301,-0.1694,2.7295,-0.6419,0.0030,0.0030,0.0030
1,302,0.6879,0.7225,-1.0336,0.0030,0.0030,0.0030
1,307,5.5799,-1.7117,2.4559,0.0030,0.0030,0.0030
1,312,3.0398,2.0262,2.6377,0.0030,0.0030,0.0030
1,316,-0.4708,2.4058,2.5086,0.0030,0.0030,0.0030
1,317,0.4159,0.1823,-0.3843,0.0030,0.0030,0.0030
1,326,2.5888,-0.3524,-1.1180,0.0030,0.0030,0.0030
1,327,1.1571,1.0654,2.5866,0.0030,0.0030,0.0030
1,331,-0.3753,-2.7174,1.9791,0.0030,0.0030,0.0030
1,337,3.1140,2.2443,-0.9866,0.0030,0.0030,0.0030
1,342,6.0038,-1.3016,1.7840,0.0030,0.0030,0.0030
1,346,1.0947,-2.7180,-0.0076,0.0030,0.0030,0.0030
1,351,2.1548,-1.4040,0.8967,0.0030,0.0030,0.0030
1,366,2.7686,-0.9746,1.8925,0.0030,0.0030,0.0030
1,367,1.2144,-2.5212,1.4722,0.0030,0.0030,0.0030
1,376,1.5757,1.9368,2.5262,0.0030,0.0030,0.0030
1,377,5.5175,0.0041,-1.1627,0.0030,0.0030,0.0030
1,391,-2.4347,1.4860,-1.1608,0.0030,0.0030,0.0030
2,2,2.2711,-1.8270,1.2405,0.0030,0.0030,0.0030
2,3,0.2155,0.2813,2.5836,0.0030,0.0030,0.0030
2,12,2.8853,-0.2716,2.2573,0.0030,0.0030,0.0030
2,13,-4.1408,1.9902,-0.6349,0.0030,0.0030,0.0030
2,18,-4.0015,1.3644,2.7022,0.0030,0.0030,0.0030
2,22,-2.5944,-0.0153,2.4542,0.0030,0.0030,0.0030
2,27,-1.1883,2.6734,2.9630,0.0030,0.0030,0.0030
2,28,-2.6532,0.0343,2.4007,0.0030,0.0030,0.0030
2,30,-4.4626,-2.2445,0.1481,0.0030,0.0030,0.0030
2,32,0.3023,2.4240,2.1115,0.0030,0.0030,0.0030
2,35,-4.1063,1.4284,-0.3705,0.0030,0.0030,0.0030
2,36,3.9023,-3.9727,0.0724,0.0030,0.0030,0.0030
2,37,-0.0107,-2.7214,0.5712,0.0030,0.0030,0.0030
2,40,-0.1999,-2.8269,0.3267,0.0030,0.0030,0.0030
2,41,-1.2861,-1.5512,0.8953,0.0030,0.0030,0.0030
2,42,1.4257,-1.9985,2.2262,0.0030,0.0030,0.0030
2,47,-2.1732,-1.9364,2.1933,0.0030,0.0030,0.0030
