id,x,y,z,yaw[deg],pitch[deg],roll[deg],type
1,0.0,0.0,0.0,0.0,0.0,0.0,fixed
2,1.0,0.0,0.0,0.0,0.0,0.0,free
3,2.0,0.0,0.0,0.0,0.0,0.0,free
4,3.0,0.0,0.0,0.0,0.0,0.0,free
5,4.0,0.0,0.0,0.0,0.0,0.0,free
6,5.0,0.0,0.0,0.0,0.0,0.0,free
7,6.0,0.0,0.0,0.0,0.0,0.0,free
8,7.0,0.0,0.0,0.0,0.0,0.0,free
9,8.0,0.0,0.0,0.0,0.0,0.0,free
10,9.0,0.0,0.0,0.0,0.0,0.0,free
11,10.0,0.0,0.0,0.0,0.0,0.0,free
12,11.0,0.0,0.0,0.0,0.0,0.0,free
13,12.0,0.0,0.0,0.0,0.0,0.0,free
14,13.0,0.0,0.0,0.0,0.0,0.0,free
15,14.0,0.0,0.0,0.0,0.0,0.0,free
